"Projection"
age,cohort,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125
0,Native,"56,080","54,952","52,418","49,898","47,382","44,962","42,684","40,564","38,706","37,100","35,746","34,586","33,636","32,954","32,442","32,030","31,672","31,386","31,146","30,824","30,520","30,190","29,850","29,472","28,944","28,456","27,942","27,424","26,886","26,288","25,722","25,172","24,628","24,088","23,646","23,228","22,828","22,462","22,112","21,892","21,720","21,578","21,490","21,426","21,436","21,482","21,552","21,652","21,762","21,884","22,004","22,118","22,226","22,318","22,392","22,446","22,480","22,492","22,486","22,458","22,422","22,372","22,316","22,248","22,180","22,114","22,054","22,002","21,956","21,922","21,908","21,904","21,920","21,954","22,006","22,074","22,156","22,250","22,354","22,468","22,582","22,694","22,800","22,894","22,976","23,040","23,082","23,104","23,102","23,078","23,028","22,960","22,872","22,768","22,652","22,530","22,402","22,276","22,154","22,042","21,942"
0,Immigrant,"0","0","2,340","3,246","4,244","5,268","6,352","7,408","8,490","9,592","10,646","11,682","12,680","13,658","14,622","15,526","16,376","17,174","17,912","18,580","19,234","19,832","20,382","20,870","21,302","21,758","22,184","22,588","22,968","23,324","23,688","24,036","24,366","24,674","24,990","25,290","25,574","25,846","26,098","26,376","26,642","26,892","27,130","27,354","27,582","27,808","28,030","28,248","28,464","28,672","28,870","29,050","29,206","29,336","29,434","29,498","29,518","29,496","29,434","29,326","29,172","28,970","28,726","28,448","28,140","27,820","27,488","27,164","26,860","26,582","26,340","26,144","25,994","25,894","25,852","25,862","25,912","25,998","26,112","26,248","26,394","26,544","26,694","26,838","26,974","27,094","27,198","27,282","27,352","27,404","27,436","27,448","27,448","27,436","27,418","27,394","27,368","27,340","27,316","27,294","27,280"
1,Native,"55,480","56,032","54,906","54,710","53,098","51,582","50,186","48,994","47,930","47,156","46,652","46,352","46,228","46,276","46,572","47,022","47,514","48,006","48,518","49,016","49,362","49,710","49,980","50,188","50,298","50,202","50,172","50,084","49,968","49,810","49,568","49,368","49,166","48,952","48,720","48,594","48,476","48,360","48,266","48,168","48,226","48,320","48,428","48,576","48,738","48,976","49,246","49,540","49,856","50,182","50,512","50,830","51,124","51,386","51,610","51,782","51,898","51,952","51,944","51,874","51,740","51,548","51,298","50,996","50,652","50,276","49,890","49,500","49,122","48,772","48,462","48,206","48,006","47,872","47,808","47,816","47,894","48,026","48,206","48,424","48,674","48,934","49,196","49,450","49,688","49,906","50,090","50,236","50,344","50,410","50,438","50,420","50,364","50,276","50,160","50,026","49,880","49,726","49,574","49,426","49,294"
1,Immigrant,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2,Native,"56,040","55,432","55,982","54,858","54,662","53,052","51,536","50,144","48,950","47,888","47,114","46,612","46,312","46,188","46,236","46,532","46,982","47,472","47,964","48,476","48,974","49,318","49,668","49,936","50,144","50,254","50,158","50,128","50,040","49,924","49,766","49,526","49,324","49,122","48,910","48,678","48,552","48,434","48,318","48,224","48,126","48,184","48,278","48,386","48,534","48,696","48,932","49,204","49,496","49,812","50,138","50,468","50,786","51,080","51,342","51,564","51,736","51,854","51,906","51,898","51,828","51,694","51,504","51,254","50,952","50,608","50,232","49,846","49,456","49,080","48,730","48,420","48,164","47,964","47,830","47,766","47,774","47,854","47,984","48,164","48,382","48,630","48,892","49,154","49,408","49,646","49,862","50,046","50,192","50,300","50,366","50,394","50,376","50,320","50,232","50,118","49,984","49,836","49,684","49,530","49,384"
2,Immigrant,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
3,Native,"61,240","55,992","55,384","55,934","54,810","54,614","53,006","51,492","50,100","48,908","47,848","47,074","46,570","46,272","46,148","46,196","46,492","46,940","47,432","47,924","48,434","48,930","49,276","49,624","49,892","50,102","50,212","50,114","50,084","49,996","49,880","49,724","49,482","49,282","49,080","48,868","48,636","48,510","48,392","48,276","48,182","48,084","48,142","48,236","48,344","48,492","48,654","48,890","49,162","49,454","49,770","50,094","50,424","50,742","51,034","51,298","51,520","51,692","51,808","51,862","51,852","51,784","51,650","51,458","51,208","50,908","50,564","50,188","49,804","49,412","49,038","48,688","48,378","48,122","47,922","47,790","47,724","47,734","47,812","47,944","48,122","48,340","48,588","48,850","49,110","49,364","49,602","49,820","50,002","50,148","50,256","50,322","50,350","50,334","50,276","50,188","50,074","49,940","49,794","49,640","49,486"
3,Immigrant,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
4,Native,"61,220","61,186","55,942","55,336","55,884","54,762","54,566","52,960","51,446","50,056","48,866","47,806","47,032","46,530","46,232","46,106","46,156","46,450","46,900","47,390","47,882","48,392","48,888","49,232","49,580","49,848","50,058","50,168","50,070","50,040","49,952","49,838","49,680","49,440","49,238","49,038","48,824","48,594","48,466","48,350","48,234","48,140","48,042","48,100","48,194","48,302","48,450","48,610","48,848","49,118","49,410","49,726","50,050","50,380","50,696","50,990","51,252","51,474","51,646","51,762","51,816","51,808","51,738","51,604","51,414","51,164","50,864","50,520","50,144","49,760","49,370","48,994","48,646","48,336","48,080","47,882","47,748","47,682","47,692","47,770","47,902","48,080","48,298","48,546","48,806","49,068","49,322","49,558","49,776","49,958","50,106","50,212","50,278","50,306","50,290","50,232","50,144","50,030","49,896","49,750","49,596"
4,Immigrant,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
